epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,415.74,1.87825,3.20527,1.78931,0.56736,0.11887,0.2072,0.106,1.69142,3.3827,1.62286,0.000547083,0.000547083,0.000547083
2,767.643,1.81764,2.83476,1.8393,0.29335,0.20161,0.1646,0.05153,2.22438,3.37679,2.14167,0.0010662,0.0010662,0.0010662
3,1154.12,1.83007,2.73408,1.84548,0.27552,0.45641,0.32087,0.15207,1.79103,2.9149,1.72126,0.00103767,0.00103767,0.00103767
4,1401.85,1.79085,2.71855,1.84863,0.35077,0.45226,0.31489,0.12845,2.0344,2.86843,1.91867,0.00100101,0.00100101,0.00100101
5,1639.9,1.78782,2.58999,1.84411,0.44881,0.23954,0.25404,0.11535,1.92155,2.73437,1.8812,0.000964348,0.000964348,0.000964348
6,1857.63,1.77482,2.48486,1.82203,0.34284,0.38146,0.32911,0.14178,1.80616,2.5872,1.75165,0.000927685,0.000927685,0.000927685
7,2187.39,1.68915,2.43262,1.74486,0.30741,0.35469,0.33771,0.13122,2.0183,2.41829,1.91564,0.000891022,0.000891022,0.000891022
8,2658.76,1.7102,2.44126,1.77412,0.41805,0.44435,0.3824,0.17898,1.86189,2.34675,1.76343,0.000854359,0.000854359,0.000854359
9,3031.54,1.71642,2.35677,1.76226,0.46791,0.45015,0.4264,0.21106,1.80836,2.17653,1.70371,0.000817696,0.000817696,0.000817696
10,4012.11,1.67534,2.36302,1.77458,0.4874,0.43638,0.46195,0.19999,1.9513,2.13486,1.84669,0.000781033,0.000781033,0.000781033
11,5538.1,1.6248,2.17945,1.70493,0.55132,0.49284,0.50575,0.27592,1.68568,1.96837,1.61679,0.00074437,0.00074437,0.00074437
12,6127.31,1.60407,2.08563,1.66066,0.46379,0.53116,0.44986,0.22244,1.78147,2.49689,1.70531,0.000707707,0.000707707,0.000707707
13,6698.21,1.61734,2.08079,1.67879,0.52452,0.61012,0.503,0.241,1.88141,1.97012,1.75624,0.000671044,0.000671044,0.000671044
14,7311.7,1.59007,2.0377,1.6804,0.53258,0.48404,0.47181,0.26139,1.65702,1.88305,1.59529,0.000634381,0.000634381,0.000634381
15,7720.57,1.54451,2.0112,1.65557,0.6128,0.56145,0.55785,0.28646,1.731,1.87921,1.64033,0.000597718,0.000597718,0.000597718
16,8105.23,1.5908,1.95559,1.62368,0.62974,0.59207,0.54816,0.27268,1.84053,1.83612,1.71344,0.000561055,0.000561055,0.000561055
17,8440.11,1.52277,1.93827,1.62086,0.64084,0.52147,0.57259,0.29142,1.69524,1.82562,1.62464,0.000524392,0.000524392,0.000524392
18,8870.56,1.55484,1.94015,1.64011,0.48081,0.5536,0.56594,0.2925,1.73821,1.75983,1.60758,0.000487729,0.000487729,0.000487729
19,9277.28,1.50957,1.83586,1.57405,0.46753,0.57584,0.51934,0.26019,1.84079,1.77268,1.70326,0.000451066,0.000451066,0.000451066
20,9689.05,1.50683,1.81538,1.59168,0.52334,0.51782,0.50849,0.28854,1.5777,1.70521,1.51487,0.000414403,0.000414403,0.000414403
21,10092,1.46082,1.77656,1.61242,0.55658,0.52865,0.53,0.28362,1.67555,1.79309,1.57863,0.00037774,0.00037774,0.00037774
22,10521.3,1.42171,1.66328,1.58756,0.59682,0.62494,0.57409,0.33325,1.60625,1.71663,1.53355,0.000341077,0.000341077,0.000341077
23,10790.3,1.40237,1.63861,1.58908,0.75828,0.53001,0.61439,0.38907,1.58698,1.68959,1.504,0.000304414,0.000304414,0.000304414
24,11226.4,1.39364,1.60236,1.58689,0.67394,0.62121,0.64065,0.34782,1.67739,1.68199,1.61125,0.000267751,0.000267751,0.000267751
